Messier number	NGC/IC number	Common name	Picture	Object type	Distance (kly)	Constellation	Apparent magnitude	Right ascension	Declination
M20	NGC 6514	Trifid Nebula	Trifid.nebula.arp.750pix.jpg	H II region nebula with cluster	5.2	Sagittarius	6.3	18h 02m 23s	−23° 01′ 48″
M21	NGC 6531	–	Messier object 021.jpg	Open cluster	4.25	Sagittarius	6.5	18h 04.6m	−22° 30′
M22	NGC 6656	Sagittarius Cluster	Messier object 022.jpg	Globular cluster	9.6–11.6	Sagittarius	5.1	18h 36m 23.94s	−23° 54′ 17.1″
M23	NGC 6494	–	Messier object 023.jpg	Open cluster	2.15	Sagittarius	6.9	17h 56.8m	−19° 01′
M24	IC 4715	Sagittarius Star Cloud	Messier 024 2MASS.jpg	Milky Way star cloud	~10	Sagittarius	4.6	18h 17m	−18° 29′
M25	IC 4725	–	Messier object 025.jpg	Open cluster	2.0	Sagittarius	4.6	18h 31.6m	−19° 15′
M26	NGC 6694	–	Messier object 026.jpg	Open cluster	5.0	Scutum	8.0	18h 45.2m	−09° 24′
M27	NGC 6853	Dumbbell Nebula	Dumbbell Nebula from NA.jpg	Planetary nebula	1.148–1.52	Vulpecula	7.5	19h 59m 36.340s	+22° 43′ 16.09″
M28	NGC 6626	–	Messier28.jpg	Globular cluster	17.9	Sagittarius	7.7	18h 24m 32.89s	−24° 52′ 11.4″
M29	NGC 6913	Cooling Tower	Messier object 029.jpg	Open cluster	7.2	Cygnus	7.1	20h 23m 56s	+38° 31′ 24″
M30	NGC 7099	–	Messier object 030.jpg	Globular cluster	27.8–31	Capricornus	7.7	21h 40m 22.12	−23° 10′ 47.5″
M31	NGC 224	Andromeda Galaxy	Andromeda Galaxy (with h-alpha).jpg	Spiral galaxy	2,430–2,650	Andromeda	3.4	00h 42m 44.3s	+41° 16′ 9″
M32	NGC 221	–	M32 Lanoue.png	Dwarf elliptical galaxy	2,410–2,570	Andromeda	8.1	00h 42m 41.8s	+40° 51′ 55″
M33	NGC 598	Triangulum Galaxy	M33HunterWilson1.jpg	Spiral galaxy	2,380–3,070	Triangulum	5.7	01h 33m 50.02s	+30° 39′ 36.7″
M34	NGC 1039	–	M34 2mass atlas.jpg	Open cluster	1.5	Perseus	5.5	02h 42.1m	+42° 46′
M35	NGC 2168	–	M35atlas.jpg	Open cluster	2.8	Gemini	5.3	06h 09.1m	+24° 21′
M36	NGC 1960	–	M36a.jpg	Open cluster	4.1	Auriga	6.3	05h 36m 12s	+34° 08′ 4″
M37	NGC 2099	–	M37a.jpg	Open cluster	4.511	Auriga	6.2	05h 52m 18s	+32° 33′ 02″
M38	NGC 1912	–	Messier object 038.jpg	Open cluster	4.2	Auriga	7.4	05h 28m 42s	+35° 51′ 18″
M39	NGC 7092	–	Messier object 039.jpg	Open cluster	0.8244	Cygnus	5.5	21h 31m 42s	+48° 26′ 00″
M40	–	Winnecke 4	Messier object 40.jpg	Double star	0.51	Ursa Major	9.7	12h 22m 12.5s	+58° 4′ 59″
M41	NGC 2287	–	Messier 041 2MASS.jpg	Open cluster	2.3	Canis Major	4.5	06h 46.0m	−20° 46′
M42	NGC 1976	Orion Nebula	Orion Nebula - Hubble 2006 mosaic 18000.jpg	H II region nebula	1.324–1.364	Orion	4.0	05h 35m 17.3	−05° 23′ 28″
M43	NGC 1982	De Mairan's Nebula	M43 HST.jpg	H II region nebula (part of the Orion Nebula)	1.6	Orion	9.0	05h 35.6m	−05° 16′
M44	NGC 2632	Beehive Cluster	Messier 044 2MASS.jpg	Open cluster	0.577	Cancer	3.7	08h 40.4m	+19° 59′
M45	–	Pleiades	Bob Star - M45 Carranza Field (by).jpg	Open cluster	0.39–0.46	Taurus	1.6	03h 47m 24s	+24° 07′ 00″
M46	NGC 2437	–	M46a.jpg	Open cluster	5.4	Puppis	6.1	07h 41.8m	−14° 49′
M47	NGC 2422	–	M47a.jpg	Open cluster	1.6	Puppis	4.2	07h 36.6m	−14° 30′
M48	NGC 2548	–	M48a.jpg	Open cluster	1.5	Hydra	5.5	08h 13.7m	−05° 45′
M49	NGC 4472	–	Messier 49 Hubble WikiSky.jpg	Elliptical galaxy	53,600–58,200	Virgo	9.4	12h 29m 46.7s	+08° 00′ 02″
M50	NGC 2323	–	M50a.jpg	Open cluster	3.2	Monoceros	5.9	07h 03.2m	−08° 20′
M51	NGC 5194, NGC 5195	Whirlpool Galaxy	Whirlpool (M51).jpg	Spiral galaxy	19,000–27,000	Canes Venatici	8.4	13h 29m 52.7s	+47° 11′ 43″
M52	NGC 7654	–	M52atlas.jpg	Open cluster	5.0	Cassiopeia	5.0	23h 24.2m	+61° 35′
M53	NGC 5024	–	Globular Cluster M53.jpg	Globular cluster	58	Coma Berenices	8.3	13h 12m 55.25s	+18° 10′ 05.4″
M54	NGC 6715	–	Messier54.jpg	Globular cluster	87.4	Sagittarius	8.4	18h 55m 03.33s	−30° 28′ 47.5″
M55	NGC 6809	–	Messier55.jpg	Globular cluster	17.6	Sagittarius	7.4	19h 39m 59.71s	−30° 57′ 53.1″
M56	NGC 6779	–	M56-LRGB.jpg	Globular cluster	32.9	Lyra	8.3	19h 16m 35.57s	+30° 11′ 00.5″
M57	NGC 6720	Ring Nebula	M57 The Ring Nebula.JPG	Planetary nebula	1.6–3.8	Lyra	8.8	18h 53m 35.079s	+33° 01′ 45.03″
M58	NGC 4579	–	M58s (visible).jpg	Barred Spiral galaxy	~63,000	Virgo	10.5	12h 37m 43.5s	+11° 49′ 05″
M59	NGC 4621	–	Messier59 - HST - Potw1921a.jpg	Elliptical galaxy	55,000–65,000	Virgo	10.6	12h 42m 02.3s	+11° 38′ 49″
M60	NGC 4649	–	Messier 60 Hubble WikiSky.jpg	Elliptical galaxy	51,000–59,000	Virgo	9.8	12h 43m 39.6s	+11° 33′ 09″
M61	NGC 4303	–	Messier61 - ESO - Potw1901a.tif	Spiral galaxy	50,200–54,800	Virgo	10.2	12h 21m 54.9s	+04° 28′ 25″
M62	NGC 6266	–	Messier object 062.jpg	Globular cluster	22.2	Ophiuchus	7.4	17h 01m 12.60s	−30° 06′ 44.5″
M63	NGC 5055	Sunflower Galaxy	M63s.jpg	Spiral galaxy	37,000	Canes Venatici	9.3	13h 15m 49.3s	+42° 01′ 45″
M64	NGC 4826	Black Eye Galaxy	Blackeyegalaxy.jpg	Spiral galaxy	22,000–26,000	Coma Berenices	9.4	12h 56m 43.7s	+21° 40′ 58″
M65	NGC 3623	Leo Triplet	M65.jpg	Barred Spiral galaxy	41,000–42,000	Leo	10.3	11h 18m 55.9s	+13° 05′ 32″
M66	NGC 3627	Leo Triplet	Phot-33c-03-fullres.jpg	Barred Spiral galaxy	31,000–41,000	Leo	8.9	11h 20m 15.0s	+12° 59′ 30″
M67	NGC 2682	–	Messier object 067.jpg	Open cluster	2.61–2.93	Cancer	6.1	08h 51.3m	+11° 49′
M68	NGC 4590	–	Messier object 068.jpg	Globular cluster	33.6	Hydra	9.7	12h 39m 27.98s	−26° 44′ 38.6″
